date	M9 OS	Health Monitor
20150430205815	-1	-1
20150430205821	-1	-1
20150430205827	-1	-1
20150430205832	-1	-1
20150430205838	-1	-1
20150430205843	-1	-1
20150430205849	-1	-1
20150430205854	-1	-1
20150430205900	-1	8
20150430205906	-1	-1
20150430205911	-1	-1
20150430205917	-1	-1
20150430205922	-1	-1
20150430205928	-1	-1
20150430205934	-1	-1
20150430205940	-1	-1
20150430205945	57	-1
20150430205951	58	-1
20150430205957	79	-1
20150430210003	75	-1
20150430210008	83	-1
20150430210014	93	-1
20150430210020	79	-1
20150430210025	95	-1
20150430210031	97	-1
20150430210036	92	-1
20150430210042	95	9
20150430210048	87	-1
20150430210053	99	-1
20150430210059	95	-1
20150430210104	85	-1
20150430210110	98	6
20150430210116	98	-1
20150430210121	86	-1
20150430210127	96	-1
20150430210132	89	-1
20150430210138	97	-1
20150430210144	100	-1
20150430210149	84	-1
20150430210155	97	-1
20150430210200	98	-1
20150430210206	73	-1
20150430210211	99	-1
20150430210217	74	-1
20150430210223	95	-1
20150430210228	97	-1
20150430210234	97	-1
20150430210239	72	-1
20150430210245	98	-1
20150430210251	85	41
20150430210256	48	-1
20150430210302	94	-1
20150430210307	95	-1
20150430210313	-1	-1
20150430210319	76	-1
20150430210324	62	-1
20150430210330	60	31
20150430210336	61	-1
20150430210341	-1	-1
20150430210347	-1	-1
20150430210352	4	-1
20150430210358	-1	-1
20150430210404	-1	-1
20150430210409	-1	-1
20150430210415	4	-1
20150430210420	-1	94
20150430210426	-1	-1
20150430210431	-1	-1
20150430210437	6	-1
20150430210443	-1	-1
20150430210448	-1	-1
20150430210454	-1	-1
20150430210459	4	-1
20150430210505	-1	-1
20150430210511	-1	39
20150430210516	-1	-1
20150430210522	-1	6
20150430210527	-1	-1
20150430210533	9	-1
20150430210539	13	-1
20150430210544	-1	-1
20150430210550	-1	30
20150430210555	-1	-1
20150430210601	-1	-1
20150430210606	-1	-1
20150430210612	-1	7
20150430210618	-1	-1
20150430210623	-1	-1
20150430210629	45	-1
20150430210634	4	-1
20150430210640	-1	86
20150430210646	11	-1
20150430210651	-1	-1
20150430210657	4	-1
20150430210702	-1	-1
20150430210708	-1	-1
20150430210714	19	-1
20150430210719	4	-1
20150430210725	9	-1
20150430210730	-1	77
20150430210736	46	-1
20150430210742	-1	-1
20150430210747	4	-1
20150430210753	-1	-1
20150430210758	32	-1
20150430210804	39	-1
20150430210809	58	-1
20150430210815	-1	-1
20150430210821	85	22
20150430210826	78	-1
20150430210832	50	7
20150430210837	7	-1
20150430210843	45	-1
20150430210849	13	-1
20150430210854	-1	-1
20150430210900	-1	45
20150430210905	-1	-1
20150430210911	23	-1
20150430210917	15	-1
20150430210922	-1	6
20150430210928	59	-1
20150430210933	35	-1
20150430210939	9	-1
20150430210945	15	-1
20150430210950	-1	95
20150430210956	43	-1
20150430211001	9	-1